gcc -c -o LRDP.o LRDP.c -fopenmp -g -lm -I.
gcc -o LRDP LRDP.o -fopenmp -g -lm -I.
0,0,0
0,1,1
0,2,2
0,3,3
0,4,3
0,5,2
0,6,1
1,0,1
1,1,0
1,2,1
1,3,2
1,4,3
1,5,3
1,6,2
2,0,2
2,1,1
2,2,0
2,3,1
2,4,2
2,5,3
2,6,3
3,0,3
3,1,2
3,2,1
3,3,0
3,4,1
3,5,2
3,6,3
4,0,3
4,1,3
4,2,2
4,3,1
4,4,0
4,5,1
4,6,2
5,0,2
5,1,3
5,2,3
5,3,2
5,4,1
5,5,0
5,6,1
6,0,1
6,1,2
6,2,3
6,3,3
6,4,2
6,5,1
6,6,0
benjamin@UXPS13:~/Desktop/DirectedPercolation/LongRangeDirectedPercolation$ gcc -lm -O3 test.c
benjamin@UXPS13:~/Desktop/DirectedPercolation/LongRangeDirectedPercolation$ ./a.out 
0 0 0
0 1 1
0 2 2
0 3 3
0 4 3
0 5 2
0 6 1
1 0 1
1 1 0
1 2 1
1 3 2
1 4 3
1 5 3
1 6 2
2 0 2
2 1 1
2 2 0
2 3 1
2 4 2
2 5 3
2 6 3
3 0 3
3 1 2
3 2 1
3 3 0
3 4 1
3 5 2
3 6 3
4 0 3
4 1 3
4 2 2
4 3 1
4 4 0
4 5 1
4 6 2
5 0 2
5 1 3
5 2 3
5 3 2
5 4 1
5 5 0
5 6 1
6 0 1
6 1 2
6 2 3
6 3 3
6 4 2
6 5 1
6 6 0

